,,,,,,,,,,,,,,,,,,,,
,Tabla de conversiones,,,Bachelors,,,,,,,,,,,,,,,,
,EUR A USD,"0,92",,,,,,,,,,,,,,,,,,
,GBP A USD,"0,79",,,,,,,,,,,,,,,,,,
,AUD A USD,"0,65",,,,,,,,,,,,,,,,,,
,CAD A USD,"1,36",,,,,,,,,,,,,,,,,,
,,,,,,,MES,, COSTO EN MONEDA DE PAIS ,,,,,,,,,,,
,3,4,,1,,,,,,,5,,,,,,,,,
,País,Institución,Área de estudio,Nombre del programa,Majors/Especialización,Ubicación,Fechas de inicio,Duración , Costo p/año ,Moneda,Link,,,,,,,,,
,Australia,Macquarie University,Arts,Bachelor of Arts,Spanish and Latin American Studies,North Ryde,"Session 1 (23 February 2026)
Session 2 (27 July 2026)",3 years full time," $ 39.600,00 ",AUD,Bachelor of Arts | Macquarie University Sydney,,,,,,,,,
,Australia,Macquarie University,Arts,Bachelor of Arts,Anthropology,North Ryde,"Session 1 (23 February 2026)
Session 2 (27 July 2026)",3 years full time," $ 39.600,00 ",AUD,https://www.mq.edu.au/study/find-a-course/arts-and-social-sciences/international-relations,,,,,,,,,
,Australia,Macquarie University,Arts,Bachelor of Arts,Chinese Studies,North Ryde,"Session 1 (23 February 2026)
Session 2 (27 July 2026)",3 years full time," $ 39.600,00 ",AUD,https://www.mq.edu.au/study/find-a-course/arts-and-social-sciences/international-relations,,,,,,,,,
,Australia,Macquarie University,Arts,Bachelor of Arts,Ancient History,North Ryde,"Session 1 (23 February 2026)
Session 2 (27 July 2026)",3 years full time," $ 39.600,00 ",AUD,https://www.mq.edu.au/study/find-a-course/arts-and-social-sciences/international-relations,,,,,,,,,
,Australia,Macquarie University,Arts,Bachelor of Arts,Creative Writing,North Ryde,"Session 1 (23 February 2026)
Session 2 (27 July 2026)",3 years full time," $ 39.600,00 ",AUD,https://www.mq.edu.au/study/find-a-course/arts-and-social-sciences/international-relations,,,,,,,,,
,Australia,Macquarie University,Arts,Bachelor of Arts,Criminology,North Ryde,"Session 1 (23 February 2026)
Session 2 (27 July 2026)",3 years full time," $ 39.600,00 ",AUD,https://www.mq.edu.au/study/find-a-course/arts-and-social-sciences/international-relations,,,,,,,,,
,Australia,Macquarie University,Arts,Bachelor of Arts,Education Studies,North Ryde,"Session 1 (23 February 2026)
Session 2 (27 July 2026)",3 years full time," $ 39.600,00 ",AUD,https://www.mq.edu.au/study/find-a-course/arts-and-social-sciences/international-relations,,,,,,,,,
,Australia,Macquarie University,Arts,Bachelor of Arts,English,North Ryde,"Session 1 (23 February 2026)
Session 2 (27 July 2026)",3 years full time," $ 39.600,00 ",AUD,https://www.mq.edu.au/study/find-a-course/arts-and-social-sciences/international-relations,,,,,,,,,
,Australia,Macquarie University,Arts,Bachelor of Arts,French and Francophone Studies,North Ryde,"Session 1 (23 February 2026)
Session 2 (27 July 2026)",3 years full time," $ 39.600,00 ",AUD,https://www.mq.edu.au/study/find-a-course/arts-and-social-sciences/international-relations,,,,,,,,,
,Australia,Macquarie University,Arts,Bachelor of Arts,Gender Studies,North Ryde,"Session 1 (23 February 2026)
Session 2 (27 July 2026)",3 years full time," $ 39.600,00 ",AUD,https://www.mq.edu.au/study/find-a-course/arts-and-social-sciences/international-relations,,,,,,,,,
,Australia,Macquarie University,Arts,Bachelor of Arts,Geography,North Ryde,"Session 1 (23 February 2026)
Session 2 (27 July 2026)",3 years full time," $ 39.600,00 ",AUD,https://www.mq.edu.au/study/find-a-course/arts-and-social-sciences/international-relations,,,,,,,,,
,Australia,Macquarie University,Arts,Bachelor of Arts,German Studies,North Ryde,"Session 1 (23 February 2026)
Session 2 (27 July 2026)",3 years full time," $ 39.600,00 ",AUD,https://www.mq.edu.au/study/find-a-course/arts-and-social-sciences/international-relations,,,,,,,,,
,Australia,Macquarie University,Arts,Bachelor of Arts,International Relations,North Ryde,"Session 1 (23 February 2026)
Session 2 (27 July 2026)",3 years full time," $ 39.600,00 ",AUD,https://www.mq.edu.au/study/find-a-course/arts-and-social-sciences/international-relations,,,,,,,,,
,Australia,Macquarie University,Arts,Bachelor of Arts,Japanese Studies,North Ryde,"Session 1 (23 February 2026)
Session 2 (27 July 2026)",3 years full time," $ 39.600,00 ",AUD,https://www.mq.edu.au/study/find-a-course/arts-and-social-sciences/international-relations,,,,,,,,,
,Australia,Macquarie University,Arts,Bachelor of Arts,Critical Indigenous Studies,North Ryde,"Session 1 (23 February 2026)
Session 2 (27 July 2026)",3 years full time," $ 39.600,00 ",AUD,https://www.mq.edu.au/study/find-a-course/arts-and-social-sciences/international-relations,,,,,,,,,
,Australia,Macquarie University,Arts,Bachelor of Arts,"Media, Culture and Communications",North Ryde,"Session 1 (23 February 2026)
Session 2 (27 July 2026)",3 years full time," $ 39.600,00 ",AUD,https://www.mq.edu.au/study/find-a-course/arts-and-social-sciences/international-relations,,,,,,,,,
,Australia,Macquarie University,Arts,Bachelor of Arts,Modern History,North Ryde,"Session 1 (23 February 2026)
Session 2 (27 July 2026)",3 years full time," $ 39.600,00 ",AUD,https://www.mq.edu.au/study/find-a-course/arts-and-social-sciences/international-relations,,,,,,,,,
,Australia,Macquarie University,Arts,Bachelor of Arts,Music Studies,North Ryde,"Session 1 (23 February 2026)
Session 2 (27 July 2026)",3 years full time," $ 39.600,00 ",AUD,https://www.mq.edu.au/study/find-a-course/arts-and-social-sciences/international-relations,,,,,,,,,
,Australia,Macquarie University,Arts,Bachelor of Arts,Performing Arts and Entertainment Industries,North Ryde,"Session 1 (23 February 2026)
Session 2 (27 July 2026)",3 years full time," $ 39.600,00 ",AUD,https://www.mq.edu.au/study/find-a-course/arts-and-social-sciences/international-relations,,,,,,,,,
,Australia,Macquarie University,Arts,Bachelor of Arts,Philosophy,North Ryde,"Session 1 (23 February 2026)
Session 2 (27 July 2026)",3 years full time," $ 39.600,00 ",AUD,https://www.mq.edu.au/study/find-a-course/arts-and-social-sciences/international-relations,,,,,,,,,
,Australia,Macquarie University,Arts,Bachelor of Arts,Politics,North Ryde,"Session 1 (23 February 2026)
Session 2 (27 July 2026)",3 years full time," $ 39.600,00 ",AUD,https://www.mq.edu.au/study/find-a-course/arts-and-social-sciences/international-relations,,,,,,,,,
,Australia,Macquarie University,Arts,Bachelor of Arts,Psychological Science,North Ryde,"Session 1 (23 February 2026)
Session 2 (27 July 2026)",3 years full time," $ 39.600,00 ",AUD,https://www.mq.edu.au/study/find-a-course/arts-and-social-sciences/international-relations,,,,,,,,,
,Australia,Macquarie University,Arts,Bachelor of Arts,Sociology,North Ryde,"Session 1 (23 February 2026)
Session 2 (27 July 2026)",3 years full time," $ 39.600,00 ",AUD,https://www.mq.edu.au/study/find-a-course/arts-and-social-sciences/international-relations,,,,,,,,,
,Australia,Macquarie University,Economics,Bachelor of Professional Accounting,Accounting,North Ryde,"Session 1 (19 February 2024)
Session 2 (22 July 2024)",3 years full time," $ 43.200,00 ",AUD,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-professional-accounting#fees-and-scholarships,,,,,,,,,
