pais,institucion,area,programa,ubicacion,fechas,duracion,costo,moneda,link
Australia,University of Southern Queensland,Agriculture and Environment,Master of Professional Engineering (Agricultural Engineering),Toowomba,"January, May, September",2 years full time,35920.0,AUD,https://www.unisq.edu.au/study/degrees/master-of-professional-engineering/agricultural-engineering/international
Australia,University of Southern Queensland,Agriculture and Environment,Master of Professional Engineering (Aerospace Engineering),Toowomba,"January, May, September",2 years full time,35920.0,AUD,https://www.unisq.edu.au/study/degrees/master-of-professional-engineering/aerospace-engineering/international
Australia,University of Southern Queensland,Agriculture and Environment,Master of Professional Engineering (Environmental & Sustainable Resources Engineering),Toowomba,"January, May, September",2 years full time,35920.0,AUD,https://www.unisq.edu.au/study/degrees/master-of-professional-engineering/environmental-sustainable-resources-engineering
Australia,University of Southern Queensland,Agriculture and Environment,Master of Science (Agricultural Science),Toowomba,"January, May, September",2 years full time,37600.0,AUD,https://www.unisq.edu.au/study/degrees/master-of-science/agricultural-science/international
Australia,Deakin University,"Architecture and Design, Building, and Property",Master of Architecture,Geelong,"Trimester 1: March
Trimester 2: July
Trimester 3: November",2 years full time,42800.0,AUD,https://www.deakin.edu.au/course/master-architecture-international
Australia,RMIT,"Architecture and Design, Building, and Property",Master of Architecture,Melbourne,"Semester 1: February
Semester 2: July",2 years full time,51840.0,AUD,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-architecture-mc163
Australia,RMIT,"Architecture and Design, Building, and Property",Master of Interior Design,Melbourne,"Semester 1: February
Semester 2: July",2 years full time,48960.0,AUD,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-interior-design-mc275
Australia,RMIT,"Architecture and Design, Building, and Property",Master of Landscape Architecture,Melbourne,"Semester 1: February
Semester 2: July",2 years full time,48960.0,AUD,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-landscape-architecture-mc172
Australia,RMIT,"Architecture and Design, Building, and Property",Master of Urban Design,Melbourne,"Semester 1: February
Semester 2: July",2 years full time,52020.0,AUD,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-urban-design-mc193
Australia,RMIT,"Architecture and Design, Building, and Property",Master of Energy Efficient and Sustainable Building,Melbourne,"Semester 1: February
Semester 2: July",2 years full time,46080.0,AUD,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-energy-efficient-and-sustainable-building-mc209
Australia,RMIT,"Architecture and Design, Building, and Property",Master of Geospatial Science,Melbourne,"Semester 1: February
Semester 2: July",2 years full time,44160.0,AUD,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-geospatial-science-mc265
Australia,RMIT,"Architecture and Design, Building, and Property",Master of Occupational Health and Safety,Melbourne,"Semester 1: February
Semester 2: July",2 years full time,45120.0,AUD,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-occupational-health-and-safety-mc282
Australia,RMIT,"Architecture and Design, Building, and Property",Master of Project Management,Melbourne,"Semester 1: February
Semester 2: July",2 years full time,49920.0,AUD,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-project-management-mc210
Australia,RMIT,"Architecture and Design, Building, and Property",Master of Property,Melbourne,"Semester 1: February
Semester 2: July",2 years full time,46080.0,AUD,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-property-mc212
Australia,RMIT,"Architecture and Design, Building, and Property",Master of Urban Planning and Environment,Melbourne,"Semester 1: February
Semester 2: July",2 years full time,39360.0,AUD,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-urban-planning-and-environment-mc221
Australia,RMIT,"Arts, humanities and social sciences",Master of Arts (Arts Management),Melbourne,"Semester 1: February
Semester 2: July",2 years full time,41280.0,AUD,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-arts-arts-management-mc280
Australia,RMIT,"Arts, humanities and social sciences",Master of Fine Art,Melbourne,"Semester 1: February
Semester 2: July",2 years full time,41280.0,AUD,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-fine-art-mc266
Australia,University of Western Australia,Arquitectura y Diseño,Master of Architecture,Perth,"FEB, JUL",2-3.5,48500.0,AUD,https://www.uwa.edu.au/study/courses/master-of-architecture
Australia,University of Western Australia,Arquitectura y Diseño,Master of Building Information Modelling,Perth,FEB,1,47700.0,AUD,https://www.uwa.edu.au/study/courses/master-of-building-information-modelling
Australia,University of Western Australia,Arquitectura y Diseño,Master of Building Information Modelling (Online),Perth,"FEB, JUL",1,33000.0,AUD,https://www.uwa.edu.au/study/courses/master-of-building-information-modelling-online
Australia,University of Western Australia,Arquitectura y Diseño,Master of Landscape Architecture,Perth,"FEB, JUL",3,47700.0,AUD,https://www.uwa.edu.au/study/courses/master-of-landscape-architecture
Australia,Curtin University,"Architecture and Design, Building, and Property",Master of Urban and Regional Planning,Curtin Perth,"February, July",1 years full time,16537.0,AUD,https://www.curtin.edu.au/study/offering/course-pg-master-of-urban-and-regional-planning--mg-urplan2/
Australia,Curtin University,"Architecture and Design, Building, and Property",Architecture,Curtin Perth,"February, July",2 years full time,17915.0,AUD,https://www.curtin.edu.au/study/offering/course-pg-master-of-architecture--mc-arch/
Australia,Deakin University,"Arts, humanities and social sciences",Master of Cultural Heritage and Museum Studies (Professional),Melbourne,"Trimester 1: March
Trimester 2: July
Trimester 3: November",2 years full time,38800.0,AUD,https://www.deakin.edu.au/course/master-cultural-heritage-and-museum-studies-professional-international
Australia,Deakin University,"Arts, humanities and social sciences",Master of Humanitarianism and Development,Melbourne,"Trimester 1: March
Trimester 2: July
Trimester 3: November","1,5 years full time",38200.0,AUD,https://www.deakin.edu.au/course/master-humanitarianism-and-development-international
Australia,La Trobe University,"Arts, humanities and social sciences",Master of Archaelogy,Melbourne (Bundoora),"Semester 1: March
Semester 2: July",2 years full time,40200.0,AUD,https://www.latrobe.edu.au/courses/master-of-archaeology#/overview?location=BU&studentType=int&year=2024
Australia,La Trobe University,"Arts, humanities and social sciences",Master of clinical Psychology,Melbourne (Bundoora),2 February,2 years full time,44800.0,AUD,https://www.latrobe.edu.au/courses/master-of-clinical-psychology#/overview?location=BU&studentType=int&year=2025
Australia,La Trobe University,"Arts, humanities and social sciences",Master of International Development,Melbourne (Bundoora),"Semester 1: March
Semester 2: July",2 years full time,38800.0,AUD,https://www.latrobe.edu.au/courses/master-of-international-development#/overview?location=BU&studentType=int&year=2024
Australia,La Trobe University,"Arts, humanities and social sciences",Master of International Relations,Melbourne (Bundoora),"Semester 1: March
Semester 2: July",2 years full time,36800.0,AUD,https://www.latrobe.edu.au/courses/master-of-international-relations#/overview?location=BU&studentType=int&year=2024
Australia,La Trobe University,"Arts, humanities and social sciences",Master of Planning,Bendigo,"Semester 1: March
Semester 2: July",2 years full time,35600.0,AUD,https://www.latrobe.edu.au/courses/master-of-planning#/overview?location=BE&studentType=int&year=2024
Australia,RMIT,"Arts, humanities and social sciences",Master of Photography,Melbourne,"Semester 1: February
Semester 2: July",2 years full time,41280.0,AUD,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-photography-mc270
Australia,RMIT,"Arts, humanities and social sciences",Master of Fashion (Design),Brunswick,"Semester 1: February
Semester 2: July",2 years full time,44160.0,AUD,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-fashion-design-mc246
Australia,RMIT,"Arts, humanities and social sciences",Master of Fashion (Entrepreneurship),Brunswick,"Semester 1: February
Semester 2: July",2 years full time,44160.0,AUD,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-fashion-entrepreneurship-mc213
Australia,RMIT,"Arts, humanities and social sciences",Master of Design (Fashion & Textiles),Melbourne,"Semester 1: February
Semester 2: July",2 years full time,37440.0,AUD,https://www.rmit.edu.au/study-with-us/levels-of-study/research-programs/masters-by-research/master-of-design-fashion--textiles-mr213
Australia,RMIT,"Arts, humanities and social sciences",Master of Technology (Fashion & Textiles),Brunswick,"Semester 1: February
Semester 2: July",2 years full time,37440.0,AUD,https://www.rmit.edu.au/study-with-us/levels-of-study/research-programs/masters-by-research/master-of-technology-fashion--textiles-mr214
Australia,RMIT,Biomedical sciences,Master of Laboratory Medicine,Bundoora,"Semester 1: February
Semester 2: July",2 years full time,48000.0,AUD,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-laboratory-medicine-mc158
Australia,RMIT,Business,Master of Advertising,Melbourne,"Semester 1: February
Semester 2: July",2 years full time,43200.0,AUD,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-advertising-mc249
Australia,Macquarie University,"Arts, Social Sciences",Master of International Relations,Sydney,"February, July",1 year,45000.0,AUD,https://www.mq.edu.au/study/find-a-course/courses/master-of-international-relations
Australia,Macquarie University,"Business, Economics",Master of Applied Economics,Sydney,"February, July","1 year, 1.5 years, 2 years",46900.0,AUD,https://www.mq.edu.au/study/find-a-course/courses/master-of-applied-economics
Australia,Macquarie University,"Business, Actuarial Studies",Master of Actuarial Practice,Sydney,"February, July","1.5 years, 2 years",46900.0,AUD,https://www.mq.edu.au/study/find-a-course/courses/master-of-actuarial-practice
Australia,Macquarie University,"Business, Accounting",Master of Accounting,Sydney,"February, July","1 year, 1.5 years, 2 years",46900.0,AUD,https://www.mq.edu.au/study/find-a-course/courses/master-of-accounting
Australia,RMIT,Business,Master of Analytics,Melbourne,"Semester 1: February
Semester 2: July",2 years full time,44160.0,AUD,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-analytics-mc242
Australia,RMIT,Business,Master of Business Administration,Melbourne,"Semester 1: February
Semester 2: July",2 years full time,50880.0,AUD,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-business-administration-mc199
Alemania,CBS International Business School,Business Psychology & Management,Business Psychology and Management (M.Sc.),Cologne,Winter,2,15840.0,EUR,https://www.cbs.de/en/masters-degree-germany/business-psychology
Alemania,CBS International Business School,Digital Marketing,Digital Marketing (M.Sc.),Cologne,Winter,2,15840.0,EUR,https://www.cbs.de/en/masters-degree-germany/digital-online-marketing
Alemania,CBS International Business School,Global Finance,Global Finance – Winter Intake (M.Sc.),Cologne,Winter,2,15840.0,EUR,https://www.cbs.de/en/masters-degree-germany/msc-global-finance
Alemania,CBS International Business School,Supply Chain & Logistics,Supply Chain & Logistics (M.Sc.),Cologne,Winter,2,15840.0,EUR,https://www.cbs.de/en/masters-degree-germany/masters-supply-chain-management
Alemania,CBS International Business School,International Business & Management,International Business & Management (M.Sc.),Cologne,Winter,2,15840.0,EUR,https://www.cbs.de/master/international-business
Alemania,CBS International Business School,International Business,International Business (M.A.),Cologne,Winter & Summer,2,15840.0,EUR,https://www.cbs.de/master/international-business-ma
Alemania,CBS International Business School,Strategy & Consulting,Strategy & Consulting (M.Sc.),Cologne,Winter,2,15840.0,EUR,https://www.cbs.de/en/masters-degree-germany/business-consulting
Alemania,CBS International Business School,Global Finance,Global Finance – Summer Intake (M.Sc.),Cologne,Summer,2,15840.0,EUR,https://www.cbs.de/en/masters-degree-germany/msc-global-finance
