Course Name,University Name,Domain,Credential Level,Fees,Minimum Requirements,Intakes Duration,Link
Bachelor of Business Administration,Istanbul Medipol University,Business Administration and Management,Bachelor's Degree,8200.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Logistic Management,Istanbul Medipol University,Business Administration and Management,Bachelor's Degree,5600.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Management Information System,Istanbul Medipol University,Business Administration and Management,Bachelor's Degree,5600.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Economics and Finance,Istanbul Medipol University,"Finance, Banking and FinTech",Bachelor's Degree,8200.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Banking and Insurance,Istanbul Medipol University,"Finance, Banking and FinTech",Bachelor's Degree,5600.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Public Relations and Advertising,Istanbul Medipol University,"Media, Communication and Advertising",Bachelor's Degree,5000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Media and Visible Arts,Istanbul Medipol University,"Media, Communication and Advertising",Bachelor's Degree,5000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of New Media and Communication,Istanbul Medipol University,"Media, Communication and Advertising",Bachelor's Degree,5000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
"Bachelor of Radio,Television and Cinema",Istanbul Medipol University,"Film, Media and Television",Bachelor's Degree,5000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Journalism,Istanbul Medipol University,"Media, Communication and Advertising",Bachelor's Degree,5000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Architecture(turkish),Istanbul Medipol University,Architecture (B.Arch - M.Arch),Bachelor's Degree,6000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Interior Architecture and Environmental Design,Istanbul Medipol University,Interior Architecture,Bachelor's Degree,6800.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Industrial Design,Istanbul Medipol University,Industrial & Product Design,Bachelor's Degree,5200.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Visual Communication,Istanbul Medipol University,"Media, Communication and Advertising",Bachelor's Degree,5200.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Urban Design and Landscape Architecture,Istanbul Medipol University,Landscape Architecture,Bachelor's Degree,5200.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Gastronomy and Culinary Arts,Istanbul Medipol University,Tourism & Hospitality,Bachelor's Degree,5000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Turkish Music Art,Istanbul Medipol University,"Entertainment, Music/Dance/Performing Arts",Bachelor's Degree,5200.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Law(70% Turkish 30%English),Istanbul Medipol University,"Law (LLB, LLM, JD and interdisciplinary)",Bachelor's Degree,10000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
